,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292282958,0,1038579.907353659,0.33458750694952166
1,1985,2000,9312181.82018598,72343.82471421185,1848023.838869102,0.2000060866624259
2,1985,3000,15520302.808601584,199656.70385933667,4023427.8511129916,0.26261476334654105
3,1985,4000,21728423.45953456,153889.08437452128,3803582.7784684747,0.17629964625552944
4,1985,5000,27936543.637843046,73102.82675134996,1782686.1990701123,0.06397939906834738
5,1990,1000,3104060.6292282958,0,1172866.5163069183,0.37784910038903013
6,1990,2000,9312181.82018598,57773.13609188305,2059548.2528535726,0.2225477956677444
7,1990,3000,15520302.808601584,150969.03050824336,4400142.462019616,0.2862936367672197
8,1990,4000,21728423.45953456,129617.3285500919,4282227.63306239,0.19826223760207468
9,1990,5000,27936543.637843046,65068.482814654184,2271115.2350873146,0.08148528997675154
10,1995,1000,3104060.6292282958,0,1535191.9677126412,0.49457538079541546
11,1995,2000,9312181.82018598,0,2572733.3621443203,0.2762761092752094
12,1995,3000,15520302.808601584,0,4906891.767790192,0.31615953814191816
13,1995,4000,21728423.45953456,0,4786932.828965857,0.2203074161307972
14,1995,5000,27936543.637843046,0,2705647.8219245453,0.09684976985697884
15,2005,1000,3104060.6292282958,0,1699990.2998831952,0.547666589974382
16,2005,2000,9312181.82018598,43331.627172851564,2960234.6574778846,0.3193745282137922
17,2005,3000,15520302.808601584,130038.45167308135,5355000.044494392,0.34794724251007675
18,2005,4000,21728423.45953456,62820.380925436584,5261751.345997775,0.24286198389708366
19,2005,5000,27936543.637843046,37117.36199352788,3393683.4773631343,0.12163990197536056
20,2005,6000,34144663.2086931,55828.72124262791,2748758.24903325,0.08063514902644099
21,2018,1000,3104060.6292282958,0,2085961.9677921066,0.6720107037054557
22,2018,2000,9312181.82018598,63176.166060144766,3683665.269426175,0.39827689669353267
23,2018,3000,15520302.808601584,182589.7550616096,6445646.600934915,0.42024821943368196
24,2018,4000,21728423.45953456,135744.449566052,6722800.862021539,0.31134630672358354
25,2018,5000,27936543.637843046,78573.4551894244,5155451.354039566,0.18506198837306967
26,2018,6000,34144663.2086931,77567.0480906767,4313169.57607039,0.12660807823880335
27,2018,7000,40352782.036864415,82204.80157351027,5411250.065722659,0.13437229951053542
28,2018,8000,46560899.98756641,141640.80521742877,7824911.797137811,0.1685703721896805
29,2018,9000,52769016.92555777,225707.60750469135,9090131.397765156,0.17300264326217316
30,2018,10000,58977132.716057874,205459.53744087968,12183887.5310377,0.20730884237392422
31,2018,11000,65185247.22380575,1154661.7064994066,8885397.619311042,0.13876802074392205
32,2018,12000,71393360.31408797,4868967.203736786,5586725.3989332,0.08398010320313476
