,1985,1990,1995,2005,2018
0,8.2188,2.4027,2.7922,3.0053,3.9701
1,-1918.7865,-0.6954,-0.6497,-0.616,-0.532
2,209.9336,7.0752,8.7733,9.1763,10.8063
