,1985,1990,1995,2005,2018
0,7.1289,7.0167,1.1644,1.2586,1.6765
1,-792.1082,-665.7636,-1.3792,-1.1685,-0.7203
2,197.0146,172.3132,7.632,6.6229,4.9233
