,1985,1990,1995,2005,2018
0,0.7151,0.7652,1.5079,1.7285,2.6926
1,-1.8538,-1.0796,-0.9159,-0.7493,-0.6523
2,11.9484,4.5995,4.654,5.9131,8.2514
