,1985,1990,1995,2005,2018
0,2.2881,3.0475,3.1181,3.2995,4.1605
1,-1.1936,-0.9319,-1.0502,-1.1529,-1.1805
2,9.8435,8.8727,10.5718,11.9708,14.015
