,1985,1990,1995,2005,2018
0,1.4144,1.5528,1.9184,2.0177,2.5774
1,-0.9475,-0.9504,-0.8127,-0.8006,-0.7561
2,8.3424,9.3426,8.9153,9.3594,11.6168
