,1985,1990,1995,2005,2018
0,1.0985,1.716,2.1991,2.0322,2.7036
1,-0.8686,-0.8137,-0.8259,-0.7852,-0.7515
2,4.2136,5.7675,5.3958,6.6068,8.1653
