,1985,1990,1995,2005,2018
0,2.414,2.2915,1.6704,1.7616,3.7407
1,-5.2206,-0.8413,-0.7738,-0.7913,-0.72
2,39.6753,7.3179,6.0586,7.3019,10.3467
