,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292265407,0,2509.0862426757812,0.00080832385136143
1,1990,1000,3104060.6292265407,353400.4911621094,2108789.4019234446,0.7666484756664069
2,1990,2000,9312181.820187531,1836216.2776501225,2838854.0414361698,0.3797307552159527
3,1990,3000,15520302.808605436,5861957.74346469,2374856.3967242064,0.24588647234148067
4,1990,4000,21728423.459524777,5758261.699853276,1577149.9636965285,0.09875604188801715
5,1995,1000,3104060.6292265407,219012.12032183475,2167934.1170551367,0.7514376657320684
6,1995,2000,9312181.820187531,795797.5708172966,2994501.9013671884,0.351616579722624
7,1995,3000,15520302.808605436,2676674.7906221272,2516811.0666606827,0.19595795386916454
8,1995,4000,21728423.459524777,1653647.480631032,1720029.4976136452,0.08568113036090928
9,2005,1000,3104060.6292265407,192511.65698792698,2420265.796617455,0.8312639834309831
10,2005,2000,9312181.820187531,1046366.4870761046,4407007.777759507,0.5331606865333413
11,2005,3000,15520302.808605436,4024678.1783289276,3184503.74462412,0.27701876557772764
12,2005,4000,21728423.459524777,1728281.6501706587,2206942.003919653,0.11034631778897991
13,2005,5000,27936543.637849,809254.833193072,1968818.1600585945,0.07257703393199696
14,2018,1000,3104060.6292265407,219534.5607998717,2549542.2388973446,0.883868676662008
15,2018,2000,9312181.820187531,1117230.0811092602,5939954.618372061,0.7248309456231354
16,2018,3000,15520302.808605436,4123547.6243475215,4726961.639668063,0.41476381331743534
17,2018,4000,21728423.459524777,2633384.335206274,3579738.9075592663,0.1874695770065371
18,2018,5000,27936543.637849,2046667.5364116584,3403822.768808641,0.1314731192792255
19,2018,6000,34144663.20869059,3329391.9262336264,4982094.688557227,0.16167615864519477
20,2018,7000,40352782.03686907,3218212.7406489355,4470278.423494227,0.12038051088825336
21,2018,8000,46560899.987567864,3118753.509571031,2727040.002546004,0.06277406214094951
