,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292268,27986.24791211895,2136016.745020009,0.6943969749220104
1,1985,2000,9312181.820187455,169677.55480574066,5866847.59964648,0.6417112236809582
2,1985,3000,15520302.808603574,40655.095642089844,9870870.468745448,0.6376676428159491
3,1985,4000,21728423.459523436,15372.998657226562,14274249.214544062,0.6574041376761307
4,1985,5000,27936543.63785396,5824.265040977329,17092988.958318513,0.611978113780928
5,1985,6000,34144663.208691314,39272.83799091414,19173959.787256353,0.5621973412076383
6,1985,7000,40352782.03686443,292392.41000952624,21290410.50905427,0.5314578991209317
7,1985,8000,46560899.98756895,456650.5345813228,24716096.56083361,0.5360915068368383
8,1985,9000,52769016.925551414,131476.86171372357,24357951.811841764,0.46274867294901995
9,1985,10000,58977132.716067225,179860.77930860332,23887111.302561805,0.40626223829320496
10,1985,11000,65185247.22380375,211530.99422128714,23846038.847856827,0.3670105425953726
11,1985,12000,71393360.31408048,301134.6726816215,23198271.14039665,0.3263123489397087
12,1985,13000,77601471.85151628,208846.25761623008,19102986.68792367,0.24683213085652617
13,1985,14000,83809581.70149462,261322.66672339346,19742335.10407474,0.23629858158813757
14,1985,15000,90017689.72859783,185201.1227965112,19480237.41583708,0.2168506930863213
15,1985,16000,96225795.79822746,77156.60096770641,17676514.75744412,0.18384570915433096
16,1985,17000,102433899.7749153,93097.88287760418,14965883.696701473,0.14623574781531828
17,1985,18000,108642001.52416416,920813.3194374234,11865880.138354257,0.11015363213226784
18,1985,19000,114850100.91039626,1075388.584910673,10351485.303361483,0.0909823025853764
19,1990,1000,3104060.6292268,26517.692560412837,2578872.5138442093,0.8379647552984782
20,1990,2000,9312181.820187455,153572.27373525582,6583700.606993678,0.7188537270424447
21,1990,3000,15520302.808603574,39006.40026855469,11090444.11173478,0.7163769634798649
22,1990,4000,21728423.459523436,9332.792236328125,15883360.03499131,0.7313087034032476
23,1990,5000,27936543.63785396,6921.881435020297,19008864.14246088,0.6805986958306071
24,1990,6000,34144663.208691314,37078.0583278282,21013728.95848006,0.6161013412659065
25,1990,7000,40352782.03686443,286624.57756419457,23225638.05873356,0.5796821939395234
26,1990,8000,46560899.98756895,440559.44278109685,26461494.968667176,0.5737489067967786
27,1990,9000,52769016.925551414,117063.61757812498,25935701.477491185,0.4925876410659895
28,1990,10000,58977132.716067225,165453.10582825902,25868909.90325641,0.4398600766836915
29,1990,11000,65185247.22380375,192786.96305601828,25743204.223445404,0.39609524120435613
30,1990,12000,71393360.31408048,285406.5648066502,25307847.700362377,0.3559074107180426
31,1990,13000,77601471.85151628,196783.55543954886,21054291.030707642,0.27200278812794837
32,1990,14000,83809581.70149462,245311.97538511985,21663333.625039957,0.25924158370609546
33,1990,15000,90017689.72859783,173752.5909048043,21497185.75091841,0.23927252562376303
34,1990,16000,96225795.79822746,66270.97967529297,19862583.54196872,0.20655866987122015
35,1990,17000,102433899.7749153,81662.68163535921,16665370.464945707,0.1628237050623283
36,1990,18000,108642001.52416416,950768.2219846238,12757122.88047713,0.1184601799914473
37,1990,19000,114850100.91039626,1258702.7825566314,11691544.102954825,0.10292631568630543
38,1990,20000,121058197.79920904,393158.7424960267,11717098.254335655,0.09710433399709567
39,1995,1000,3104060.6292268,0.0,2707947.1670587277,0.8723886194623907
40,1995,2000,9312181.820187455,0.0,7053362.73106187,0.7574339577188244
41,1995,3000,15520302.808603574,0.0,11811440.595466161,0.7610315817368312
42,1995,4000,21728423.459523436,0.0,16878330.6550125,0.7767857933390391
43,1995,5000,27936543.63785396,0.0,20227292.446515817,0.7240442020575472
44,1995,6000,34144663.208691314,0.0,22249788.311038263,0.6516329704307852
45,1995,7000,40352782.03686443,0.0,24851859.49112384,0.6158648359961981
46,1995,8000,46560899.98756895,0.0,28476505.227601282,0.6115969673095681
47,1995,9000,52769016.925551414,0.0,28053178.34820771,0.5316221522145509
48,1995,10000,58977132.716067225,0.0,28264792.551362175,0.4792500287770341
49,1995,11000,65185247.22380375,0.0,28465317.914266206,0.4366834387623754
50,1995,12000,71393360.31408048,0.0,28466537.967438582,0.39872808678854554
51,1995,13000,77601471.85151628,0.0,25264313.75416429,0.32556487849232263
52,1995,14000,83809581.70149462,0.0,25089100.11081375,0.29935837408393035
53,1995,15000,90017689.72859783,0.0,24357467.880926143,0.27058534777290544
54,1995,16000,96225795.79822746,0.0,22004310.820905373,0.2286737214108933
55,1995,17000,102433899.7749153,0.0,18326634.69179663,0.1789118127110941
56,1995,18000,108642001.52416416,0.0,14686800.79208937,0.1351852928521639
57,1995,19000,114850100.91039626,0.0,13501358.412780525,0.11755634784608517
58,1995,20000,121058197.79920904,0.0,13047124.016820813,0.10777563398441785
59,1995,21000,127266292.05495894,0.0,11974888.042452939,0.09409316362640374
60,2005,1000,3104060.6292268,24691.706957529106,2836123.595416379,0.9210080594456226
61,2005,2000,9312181.820187455,141669.09887312347,7363629.605596328,0.8029681468607092
62,2005,3000,15520302.808603574,4944.597900390625,12347144.160392484,0.7958014241575728
63,2005,4000,21728423.459523436,0.0,17595737.898048278,0.8098027880773915
64,2005,5000,27936543.63785396,916.7045008042278,21365307.74422615,0.7648050210291679
65,2005,6000,34144663.208691314,12919.79109126072,23688134.187067486,0.6940206334392133
66,2005,7000,40352782.03686443,121678.59446279488,26486299.47112872,0.6583537910922286
67,2005,8000,46560899.98756895,302646.6008207434,30708672.263563897,0.6638528265825345
68,2005,9000,52769016.925551414,35399.72686145259,30433249.53641691,0.5771128770050113
