,1985,1990,1995,2005,2018
0,-3.4104,2.8389,2.9926,3.334,3.8206
1,-0.5123,-0.7714,-0.7917,-0.7335,-0.7633
2,-0.2005,7.898,9.0032,9.4467,12.3036
