,1985,1990,1995,2005,2018
0,1.1409,2.1555,2.8123,2.6764,1.8953
1,-0.8165,-0.585,-0.6738,-0.5689,-1.3708
2,3.0985,5.4561,4.9401,6.287,41.1689
